Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1996:Q3,RemainingTop1,4726353,4921282,651002,184428,1502350,186642,237366,1062684,1096810,194929,145893,12430,36606
1996:Q3,Next9,10230393,11021089,2241536,540136,1694068,2582140,877608,1122723,1962878,790696,617346,103923,69427
1996:Q3,Next40,10483091,12616963,4274128,1091623,830156,2730051,948249,649461,2093295,2133872,1608621,443619,81632
1996:Q3,Bottom50,1026807,2873425,1405273,619689,82998,171200,158743,70792,364731,1846618,1098861,667348,80409
1996:Q4,TopPt1,3510289,3557243,243686,177266,1043283,19188,34044,817971,1221805,46954,19482,3004,24468
1996:Q4,RemainingTop1,4832950,5032334,673533,183295,1546738,193663,260367,1066284,1108455,199385,149018,13044,37323
1996:Q4,Next9,10513860,11333019,2308720,538391,1784056,2613628,912157,1163563,2012504,819159,632256,111848,75055
1996:Q4,Next40,10655450,12833758,4273971,1106193,877907,2741309,1040448,666273,2127657,2178308,1637761,460181,80366
1996:Q4,Bottom50,1021150,2883811,1389196,622784,87744,174234,169679,73388,366786,1862661,1100114,685801,76746
1997:Q1,TopPt1,3485252,3535529,248170,179828,1050813,20576,35172,841529,1159442,50277,20369,2628,27280
1997:Q1,RemainingTop1,4849304,5052247,689920,183362,1537916,202039,267209,1071927,1099874,202943,150975,12443,39525
1997:Q1,Next9,10648226,11486813,2351846,543603,1803834,2656063,908350,1207901,2015217,838587,646874,109742,81971
1997:Q1,Next40,10759805,12954877,4295221,1123663,903965,2760421,1057769,683976,2129862,2195072,1662052,448150,84870
1997:Q1,Bottom50,1036218,2886180,1378432,626588,89978,177621,169908,75911,367742,1849963,1093178,681213,75572
1997:Q2,TopPt1,3683086,3737079,251890,170956,1258110,21915,38622,855473,1140113,53994,21289,2837,29868
1997:Q2,RemainingTop1,5104484,5312120,702194,184680,1738993,211489,292093,1073523,1109148,207636,153477,12666,41493
1997:Q2,Next9,11143059,12011287,2375329,553895,2099641,2707139,995676,1243764,2035843,868228,663859,114445,89924
1997:Q2,Next40,11096830,13333379,4366659,1133365,1015170,2785695,1168084,699704,2164702,2236548,1692351,455714,88483
1997:Q2,Bottom50,1075676,2936294,1399096,624069,102074,181286,180770,78620,370378,1860618,1093611,692376,74631
1997:Q3,TopPt1,3812346,3868873,257516,163323,1377845,23296,41761,874510,1130623,56528,22412,3074,31042
1997:Q3,RemainingTop1,5282056,5493166,713305,186284,1846987,220606,313395,1077729,1134861,211110,155939,12982,42189
1997:Q3,Next9,11501925,12408458,2402492,566763,2273502,2755087,1061367,1284252,2064995,906533,689116,119637,97780
1997:Q3,Next40,11358373,13644915,4414588,1148687,1088833,2808458,1259930,716600,2207818,2286542,1736075,464842,85625
1997:Q3,Bottom50,1106858,2990160,1425419,624937,109820,184869,189425,81236,374455,1883302,1105738,705270,72294
1997:Q4,TopPt1,3893413,3954800,262519,174908,1412798,24771,43138,911656,1125010,61387,23487,3592,34308
1997:Q4,RemainingTop1,5374056,5587953,741171,184711,1867823,228603,319470,1090587,1155588,213897,156191,13363,44343
1997:Q4,Next9,11733725,12673707,2487856,563060,2331538,2793277,1042861,1340771,2114343,939982,708791,127051,104140
1997:Q4,Next40,11481738,13815108,4440146,1165531,1127269,2823798,1271987,737480,2248896,2333369,1762402,479802,91165
1997:Q4,Bottom50,1093587,2980018,1398597,629751,113462,188170,188979,83525,377535,1886432,1095488,720358,70586
1998:Q1,TopPt1,4136363,4201088,267991,170050,1654204,26014,46948,915586,1120294,64725,24622,3250,36853
1998:Q1,RemainingTop1,5680085,5895605,759157,185780,2099923,240033,345776,1088771,1176165,215520,156756,12725,46039
1998:Q1,Next9,12332776,13301069,2537757,572916,2671267,2859809,1133627,1368726,2156967,968293,731916,124971,111406
1998:Q1,Next40,11881326,14239045,4517196,1180498,1251550,2859855,1390388,751453,2288105,2357718,1795615,468087,94016
1998:Q1,Bottom50,1157219,3033625,1417569,630817,127097,192340,200385,86429,378988,1876407,1092535,715010,68862
1998:Q2,TopPt1,4215220,4283415,275009,168819,1689321,28560,47959,937382,1136365,68195,25605,3687,38903
1998:Q2,RemainingTop1,5805745,6026428,785963,186434,2122662,263913,353709,1095659,1218087,220683,159856,13340,47487
1998:Q2,Next9,12603315,13608225,2615584,580927,2731465,2929336,1138136,1412757,2200019,1004909,753767,132565,118577
1998:Q2,Next40,12098371,14513449,4633222,1197752,1291123,2873305,1413875,769440,2334732,2415079,1836221,484246,94612
1998:Q2,Bottom50,1152659,3057536,1428266,633776,130853,195134,200436,89013,380059,1904877,1104252,733906,66719
1998:Q3,TopPt1,3984906,4056790,284436,145347,1449731,31184,46644,945137,1154310,71883,26633,3997,41253
1998:Q3,RemainingTop1,5600149,5824420,790961,191033,1868165,285948,342605,1096692,1249016,224271,162305,13734,48232
1998:Q3,Next9,12364592,13401744,2623516,609905,2419231,2984994,1034361,1445304,2284434,1037152,776980,138550,121622
1998:Q3,Next40,12085183,14552331,4748047,1216410,1215176,2877062,1334938,784669,2376029,2467148,1876593,495780,94775
1998:Q3,Bottom50,1213658,3137341,1522297,634034,121244,197524,188999,91855,381389,1923683,1113645,748657,61381
1998:Q4,TopPt1,4295779,4364771,298378,159234,1737930,31306,49469,943058,1145395,68991,26051,3915,39025
1998:Q4,RemainingTop1,6056755,6291161,834235,204352,2192589,302251,370345,1116347,1271042,234406,169805,14433,50168
1998:Q4,Next9,13192802,14246970,2756627,596717,2905923,3028370,1197433,1444707,2317193,1054167,790202,138588,125377
1998:Q4,Next40,12502011,15042492,4793511,1228736,1388753,2941729,1486153,794049,2409561,2540481,1925496,515910,99075
1998:Q4,Bottom50,1210418,3176056,1510059,644723,135970,197578,207552,89408,390766,1965638,1137035,768427,60176
1999:Q1,TopPt1,4234016,4298829,307420,149741,1696915,31524,49262,913048,1150919,64813,25315,3257,36241
1999:Q1,RemainingTop1,6119284,6363853,852896,221295,2183113,316999,375641,1123057,1290853,244569,177671,14433,52465
1999:Q1,Next9,13318881,14379842,2802291,602438,2941677,3057669,1240484,1420478,2314805,1060960,799329,132186,129445
1999:Q1,Next40,12659128,15246914,4858929,1237917,1421805,2995981,1517335,797321,2417626,2587786,1968948,518275,100563
1999:Q1,Bottom50,1252627,3241902,1567802,649878,134695,197188,212406,87474,392458,1989276,1156375,774246,58655
1999:Q2,TopPt1,4364298,4425927,317475,154644,1822129,31679,49648,935136,1115216,61629,24595,2958,34076
1999:Q2,RemainingTop1,6366038,6623155,889022,236266,2345040,332453,386795,1154318,1279261,257117,186086,14965,56066
1999:Q2,Next9,13767326,14849460,2905542,599527,3207249,3092299,1315265,1442465,2287113,1082134,811351,130040,140743
1999:Q2,Next40,12939562,15600134,4977204,1253419,1527324,3054353,1578164,812204,2397465,2660572,2019076,533159,108337
1999:Q2,Bottom50,1234765,3271376,1574240,660989,141725,196958,220535,84792,392137,2036611,1182583,790459,63569
1999:Q3,TopPt1,4262947,4320785,330205,144114,1662643,31942,47658,990585,1113638,57838,24137,2847,30854
1999:Q3,RemainingTop1,6321659,6587957,914497,253871,2213310,346301,377153,1202095,1280731,266298,193173,15665,57460
1999:Q3,Next9,13737400,14842958,2968213,611719,3072293,3112211,1275981,1495099,2307443,1105559,832388,129699,143472
1999:Q3,Next40,13019674,15760326,5104274,1270472,1504420,3101926,1531163,835229,2412842,2740652,2078947,553583,108122
1999:Q3,Bottom50,1248326,3332193,1635981,670527,134648,196263,216361,81799,396614,2083867,1212615,810101,61151
1999:Q4,TopPt1,4661018,4716718,348866,148463,2030258,31921,49009,996131,1112069,55700,23869,2921,28910
1999:Q4,RemainingTop1,6853549,7128792,950155,268680,2630908,364033,401464,1226264,1287288,275243,196677,16237,62329
1999:Q4,Next9,14704264,15850379,3062106,608400,3684346,3165165,1430787,1504312,2395264,1146115,854672,130057,161386
1999:Q4,Next40,13512888,16336262,5173432,1284749,1722511,3174299,1659407,846998,2474866,2823374,2127518,576498,119358
1999:Q4,Bottom50,1302786,3423802,1661446,680801,154081,196603,231696,79595,419580,2121016,1221527,827909,71580
2000:Q1,TopPt1,4714061,4767121,358776,145391,2118176,32043,49311,970104,1093319,53059,23595,2442,27022
2000:Q1,RemainingTop1,7068565,7350281,992136,285215,2759612,379796,411516,1234920,1287086,281716,199082,15983,66651
2000:Q1,Next9,15101417,16277519,3171856,616988,3902400,3200229,1498264,1485509,2402274,1176102,874797,123760,177545
2000:Q1,Next40,13911960,16791826,5381550,1306276,1814125,3233572,1712492,851183,2492628,2879866,2168449,581135,130282
2000:Q1,Bottom50,1347366,3478836,1686280,694049,159628,196380,238818,77825,425856,2131470,1220289,830445,80736
2000:Q2,TopPt1,4587510,4636748,378507,145358,1945978,32260,47526,1020234,1066885,49237,23201,2468,23568
2000:Q2,RemainingTop1,7040004,7328545,1044233,301167,2615768,394306,406363,1281566,1285142,288541,205108,16790,66643
2000:Q2,Next9,15095506,16289860,3307919,622752,3745706,3223499,1484572,1536140,2369272,1194354,897658,124332,172364
2000:Q2,Next40,14072365,17031807,5585366,1327731,1784667,3284349,1688429,874183,2487081,2959442,2227216,606309,125917
2000:Q2,Bottom50,1351466,3519846,1723553,707700,152185,195785,236954,75271,428397,2168380,1244913,851873,71594
2000:Q3,TopPt1,4583456,4629537,389366,131694,1878015,32424,46837,1077038,1074163,46081,22845,2762,20474
2000:Q3,RemainingTop1,7124012,7420788,1079269,318974,2579201,409670,408456,1332369,1292849,296776,210796,17915,68065
2000:Q3,Next9,15280544,16505961,3385225,637377,3733906,3253437,1512450,1593955,2389610,1225417,921652,127601,176164
2000:Q3,Next40,14329379,17383090,5795504,1343995,1800535,3340389,1701426,899511,2501730,3053711,2286567,640030,127114
2000:Q3,Bottom50,1380656,3598169,1791980,716135,149873,195402,239191,72791,432797,2217513,1268585,878765,70163
2000:Q4,TopPt1,4382473,4424955,402703,140289,1547279,32706,43954,1092783,1165241,42481,22129,3120,17232
2000:Q4,RemainingTop1,6945868,7251452,1135406,333322,2252675,423580,393730,1362614,1350125,305584,218592,19288,67704
2000:Q4,Next9,15098302,16330537,3528252,634068,3317461,3269665,1448758,1614657,2517676,1232234,935915,132004,164315
2000:Q4,Next40,14398856,17534459,5985172,1363881,1675284,3386627,1630193,914719,2578583,3135603,2337777,677479,120347
2000:Q4,Bottom50,1330410,3585591,1782564,730196,133421,194583,231595,70811,442420,2255181,1290814,909376,54991
2001:Q1,TopPt1,4187707,4224377,425413,141812,1289697,32891,39567,1093486,1201511,36671,21381,2494,12796
2001:Q1,RemainingTop1,6835427,7146347,1215523,348615,1992778,439105,367957,1385055,1397314,310920,226118,19391,65411
2001:Q1,Next9,14976112,16203027,3733108,634825,2986619,3299293,1347074,1621570,2580538,1226915,948505,125613,152797
2001:Q1,Next40,14670812,17851401,6358962,1380363,1569937,3443196,1508480,926083,2664380,3180589,2385265,684381,110943
2001:Q1,Bottom50,1338475,3605144,1804729,741134,119955,194195,217013,69029,459089,2266669,1308356,917846,40467
2001:Q2,TopPt1,4322493,4354808,437435,135886,1401107,29867,40071,1122514,1187928,32315,20600,2036,9679
2001:Q2,RemainingTop1,7070154,7394606,1260823,364823,2148781,424953,378592,1422398,1394236,324452,237703,20194,66555
2001:Q2,Next9,15471654,16719548,3829687,638712,3237619,3367205,1407121,1655068,2584136,1247893,969171,122810,155912
2001:Q2,Next40,15057156,18331497,6551009,1391562,1676173,3519649,1562544,945116,2685444,3274341,2460965,700963,112413
2001:Q2,Bottom50,1337545,3675804,1846410,747812,127217,195397,224384,67067,467517,2338259,1361580,938246,38433
2001:Q3,TopPt1,4061005,4092643,448073,124131,1059046,26954,35502,1136553,1262385,31639,20740,1835,9064
2001:Q3,RemainingTop1,6754683,7090229,1300088,382052,1774011,408990,350992,1451794,1422302,335546,241084,20601,73861
2001:Q3,Next9,15076553,16387752,3900357,648324,2734586,3421413,1302389,1674544,2706139,1311198,1008321,119904,182973
2001:Q3,Next40,14992657,18380508,6746098,1403137,1495811,3586442,1435513,960243,2753264,3387851,2536703,719857,131291
2001:Q3,Bottom50,1318589,3718232,1908682,753716,107794,196161,208475,65292,478112,2399643,1390704,952155,56784
2001:Q4,TopPt1,4252277,4282754,456873,142373,1278997,27464,37646,1095867,1243534,30478,20473,2724,7281
2001:Q4,RemainingTop1,7092621,7449718,1360263,372798,2029560,396482,361271,1463251,1466093,357097,260969,22641,73487
2001:Q4,Next9,15716065,16992414,3994958,660081,3067972,3518886,1377345,1640399,2732773,1276349,987890,132483,155976
2001:Q4,Next40,15391817,18857217,6919160,1425017,1617838,3627665,1505696,972890,2788951,3465400,2608735,746998,109667
2001:Q4,Bottom50,1302687,3758920,1919196,764030,116712,197964,214573,67434,479011,2456233,1433717,986982,35534
2002:Q1,TopPt1,4273808,4306853,468160,161338,1306176,28150,39979,1090237,1212813,33045,22377,2942,7726
2002:Q1,RemainingTop1,7210628,7576042,1424371,362966,2054865,381598,368306,1493651,1490284,365413,264124,22464,78825
2002:Q1,Next9,15969127,17271225,4117876,665312,3071423,3597139,1422552,1639114,2757810,1302098,1017025,132507,152566
2002:Q1,Next40,15622794,19168664,7088379,1438837,1611075,3654735,1558160,995345,2822134,3545871,2699572,741653,104646
2002:Q1,Bottom50,1315484,3779709,1929035,769841,113767,199156,219103,69334,479474,2464226,1445713,983950,34563
2002:Q2,TopPt1,4145621,4180124,483653,181449,1150515,28901,37468,1092210,1205927,34502,24185,3660,6657
2002:Q2,RemainingTop1,7106219,7480350,1488093,353280,1865401,365876,342290,1528266,1537144,374131,269976,23213,80942
2002:Q2,Next9,15780101,17108396,4247176,672636,2772667,3669874,1338841,1644792,2762410,1328294,1048844,139064,140386
2002:Q2,Next40,15505632,19157853,7213372,1457209,1490339,3677671,1456865,1020066,2842331,3652221,2804559,754729,92933
2002:Q2,Bottom50,1279662,3780094,1950336,778415,100402,200172,203308,71200,476260,2500433,1477477,996977,25979
2002:Q3,TopPt1,3894022,3930461,496745,184169,870582,29668,34545,1105610,1209142,36440,25457,4132,6851
2002:Q3,RemainingTop1,6828773,7220133,1537220,346667,1520538,350010,313561,1569209,1582928,391361,281322,24140,85899
2002:Q3,Next9,15376717,16725491,4310694,697434,2256273,3743155,1247249,1661144,2809542,1348774,1070667,144950,133157
2002:Q3,Next40,15361168,19125450,7375503,1477358,1280106,3700904,1344504,1048129,2898946,3764283,2914093,764907,85283
2002:Q3,Bottom50,1269920,3832557,2028847,785156,79793,201204,185876,73001,478681,2562637,1527622,1013480,21535
2002:Q4,TopPt1,3952329,3990558,507156,188498,965507,30320,35794,1029576,1233708,38229,26851,4796,6582
2002:Q4,RemainingTop1,7012595,7419777,1586942,339423,1629793,335945,320614,1561745,1645316,407183,291873,25249,90061
2002:Q4,Next9,15702229,17079402,4376797,716992,2378118,3833442,1322295,1592057,2859701,1377174,1095432,152680,129062
2002:Q4,Next40,15632930,19518516,7554663,1492184,1323244,3736669,1401741,1051534,2958481,3885586,3025519,780909,79158
2002:Q4,Bottom50,1278900,3909102,2090242,789087,80797,202785,189865,75501,480826,2630202,1576639,1033375,20188
2003:Q1,TopPt1,3911699,3952247,517877,209251,907207,31180,36031,1050006,1200696,40549,28077,4687,7785
2003:Q1,RemainingTop1,7013827,7439207,1653742,328956,1551687,318787,317204,1606781,1662051,425380,302582,25307,97491
2003:Q1,Next9,15835645,17232989,4507829,717400,2236795,3899391,1343597,1614764,2913212,1397344,1113415,151853,132076
2003:Q1,Next40,15759930,19737034,7722338,1501488,1260961,3754059,1408659,1081878,3007652,3977104,3126584,772148,78372
2003:Q1,Bottom50,1232640,3909424,2089487,792489,72911,203566,187772,77287,485913,2676785,1616582,1035128,25075
2003:Q2,TopPt1,4222176,4268039,531180,222575,1169282,31950,39611,1079823,1193618,45863,29922,5124,10817
2003:Q2,RemainingTop1,7388824,7836601,1714266,320183,1855617,302997,340247,1657116,1646175,447777,312727,26173,108877
2003:Q2,Next9,16623007,18097115,4620390,728779,2621203,3978652,1482827,1646366,3018898,1474108,1155183,157365,161560
2003:Q2,Next40,16160959,20302903,7894980,1516550,1401551,3781139,1540598,1115015,3053071,4141944,3264435,782022,95487
2003:Q2,Bottom50,1195692,3986927,2135125,797971,81827,204771,201594,79019,486620,2791235,1686114,1051245,53876
2003:Q3,TopPt1,4332234,4380268,545348,224934,1286721,32786,40488,1097910,1152081,48034,32253,5868,9913
2003:Q3,RemainingTop1,7596086,8052272,1766570,313601,1982123,286157,342350,1701267,1660204,456186,317700,26969,111517
2003:Q3,Next9,16971226,18491040,4700796,753029,2756089,4050925,1531768,1666727,3031705,1519813,1206548,164308,148957
2003:Q3,Next40,16351738,20629516,8083214,1535418,1441667,3802676,1574387,1145063,3047092,4277779,3397522,796760,83497
2003:Q3,Bottom50,1226989,4075459,2215951,803861,82291,205733,202824,80854,483945,2848470,1737324,1065771,45375
2003:Q4,TopPt1,4617743,4673566,558297,233401,1528898,33573,43643,1105430,1170324,55823,33505,6387,15931
2003:Q4,RemainingTop1,7992281,8481413,1827145,306050,2245781,270008,362933,1739857,1729639,489132,330306,28058,130768
2003:Q4,Next9,17674108,19212864,4801113,772039,3073192,4130634,1667172,1676968,3091746,1538756,1228691,171219,138846
2003:Q4,Next40,16776837,21179299,8285175,1554975,1542013,3829453,1697194,1172329,3098160,4402462,3513132,810925,78405
2003:Q4,Bottom50,1244633,4161714,2270975,811136,88123,206924,215107,82782,486667,2917081,1793296,1086342,37443
2004:Q1,TopPt1,5071916,5130109,581067,249122,1662851,34024,44122,1143455,1415468,58192,35001,6382,16809
2004:Q1,RemainingTop1,8489515,8994360,1922278,297776,2383206,258917,363771,1795275,1973137,504845,339078,28062,137705
2004:Q1,Next9,18497039,20060433,4997704,788009,3214967,4253314,1718733,1716413,3371293,1563394,1253402,170791,139201
2004:Q1,Next40,17366016,21863152,8621630,1580071,1577098,3888267,1726693,1208258,3261135,4497136,3617673,804000,75463
2004:Q1,Bottom50,1268665,4225924,2311315,822787,88108,209515,215500,84490,494209,2957259,1829487,1087236,40536
2004:Q2,TopPt1,5141522,5203557,603810,246816,1672911,36820,44667,1246014,1352520,62035,37237,6727,18071
2004:Q2,RemainingTop1,8615927,9136401,1991303,292570,2382449,270378,362766,1886151,1950785,520474,346299,28538,145637
2004:Q2,Next9,18784992,20406953,5122809,820242,3168034,4333742,1753773,1817760,3390593,1621961,1305384,174239,142338
2004:Q2,Next40,17637224,22280743,8894638,1604390,1547592,3958893,1746039,1262380,3266811,4643519,3760547,808463,74509
2004:Q2,Bottom50,1313048,4349375,2433038,831096,82004,210020,214982,85720,492515,3036327,1893769,1096573,45985
2004:Q3,TopPt1,5324573,5386657,626427,265595,1690708,39629,44459,1349403,1370436,62084,38933,7396,15755
2004:Q3,RemainingTop1,8862731,9394417,2087507,282623,2389873,282209,358041,1977785,2016379,531687,356994,29706,144987
2004:Q3,Next9,19214991,20874991,5365209,825448,3130265,4416433,1780070,1920141,3437425,1660000,1341883,182352,135765
2004:Q3,Next40,17947830,22730884,9194783,1617722,1520548,4031088,1748908,1316926,3300908,4783054,3892111,826563,64380
2004:Q3,Bottom50,1293500,4413408,2499150,836471,75985,210540,212136,86951,492175,3119908,1957225,1118857,43826
2004:Q4,TopPt1,5659997,5723981,646066,256571,1884291,49960,50043,1394949,1442101,63984,39412,7547,17025
2004:Q4,RemainingTop1,9214974,9744614,2148516,293598,2595559,305913,397852,1978968,2024207,529640,358718,31282,139640
2004:Q4,Next9,20045269,21798320,5551927,843939,3406659,4495384,1904571,2010980,3584860,1753051,1410613,189714,152724
2004:Q4,Next40,18522843,23408480,9505557,1642153,1597748,4100514,1867437,1308247,3386824,4885637,3960999,849673,74965
2004:Q4,Bottom50,1335226,4607284,2615465,861958,84611,210933,229460,94766,510091,3272058,2071997,1141904,58157
2005:Q1,TopPt1,5734886,5795055,663728,254939,1895522,60707,52344,1448978,1418837,60169,38316,6216,15637
2005:Q1,RemainingTop1,9312274,9845499,2206635,302756,2602543,325136,410521,1985179,2012729,533225,372376,31754,129095
2005:Q1,Next9,20411063,22188407,5782964,851421,3417484,4535772,1898847,2110123,3591796,1777344,1439995,184375,152974
2005:Q1,Next40,18804910,23724594,9748895,1660567,1588531,4140747,1854176,1302211,3429467,4919684,4011405,835466,72813
2005:Q1,Bottom50,1357680,4769979,2731814,885456,85182,210003,230716,102499,524309,3412300,2207568,1147163,57569
2005:Q2,TopPt1,5999142,6061363,684382,265933,1972942,71480,56043,1550564,1460019,62221,38703,5875,17643
2005:Q2,RemainingTop1,9568079,10102500,2278978,310010,2680261,345492,435295,2018183,2034281,534421,375820,32831,125770
2005:Q2,Next9,21033026,22890074,6074172,848520,3523183,4583662,1952372,2255377,3652788,1857049,1512651,186976,157422
2005:Q2,Next40,19120970,24131427,9962515,1681268,1608048,4186487,1898865,1310047,3484197,5010457,4090134,844605,75718
2005:Q2,Bottom50,1364289,4929375,2834249,912628,88691,209278,239012,109893,535624,3565086,2342548,1162102,60436
2005:Q3,TopPt1,6235983,6299354,703470,253310,2114140,82364,60770,1669234,1416067,63371,39121,5787,18463
2005:Q3,RemainingTop1,9836330,10369087,2335512,320507,2824929,365671,464897,2061229,1996342,532757,378976,34262,119519
2005:Q3,Next9,21658222,23600630,6304933,861132,3718876,4628272,2016015,2417541,3653861,1942407,1587820,192446,162141
2005:Q3,Next40,19523857,24634616,10261510,1692282,1653430,4229619,1963862,1323154,3510759,5110759,4170437,862218,78104
2005:Q3,Bottom50,1431313,5159953,3006609,930684,95035,208399,250319,117183,551723,3728641,2481085,1183671,63885
2005:Q4,TopPt1,6399396,6464311,713941,241364,2160873,93316,64986,1731701,1458129,64915,39459,5725,19731
2005:Q4,RemainingTop1,10027755,10557893,2381317,331297,2867986,386163,492245,2073211,2025674,530139,380708,35581,113850
2005:Q4,Next9,22151343,24166008,6499044,875484,3778537,4673698,2075232,2525455,3738558,2014665,1658296,197579,158790
2005:Q4,Next40,19922791,25113359,10544471,1706933,1656017,4273228,2018478,1320273,3593959,5190568,4236322,878812,75434
2005:Q4,Bottom50,1495717,5364125,3152890,951192,97198,207504,260121,124833,570387,3868408,2605439,1202857,60112
2006:Q1,TopPt1,6845114,6913649,706310,251489,2528933,104271,68976,1753438,1500233,68536,40311,5405,22820
2006:Q1,RemainingTop1,10468468,10995831,2385075,338509,3248042,407620,518872,2062398,2035315,527363,379640,36373,111350
2006:Q1,Next9,22921999,25037175,6599375,870393,4290950,4725463,2134511,2593658,3822825,2115176,1745127,199093,170956
2006:Q1,Next40,20084627,25371044,10486008,1723614,1790044,4321463,2069629,1305616,3674670,5286416,4317343,884659,84414
2006:Q1,Bottom50,1463109,5482022,3197866,976806,113625,206781,269372,132703,584868,4018914,2736105,1212055,70754
2006:Q2,TopPt1,6848483,6919478,708327,239327,2444123,115384,71292,1827985,1513039,70995,40694,4848,25453
2006:Q2,RemainingTop1,10428072,10955198,2399069,349424,3150994,428126,530932,2081343,2015309,527126,382551,37019,107556
2006:Q2,Next9,23051013,25251931,6715852,884697,4162778,4767565,2122303,2713182,3885554,2200919,1822873,198450,179596
2006:Q2,Next40,20147162,25520101,10599663,1738091,1735057,4362304,2052041,1306370,3726575,5372939,4397392,884711,90836
2006:Q2,Bottom50,1465729,5650368,3331583,997691,109955,205693,270281,140227,594938,4184639,2881652,1224582,78405
2006:Q3,TopPt1,7042728,7115770,704129,223956,2552588,126448,75342,1900491,1532816,73042,40591,4931,27520
2006:Q3,RemainingTop1,10620229,11146779,2399671,360952,3255440,449970,557516,2099183,2024047,526550,385917,38297,102336
2006:Q3,Next9,23488602,25762133,6790630,902159,4305454,4819305,2179225,2830579,3934782,2273532,1883003,203315,187214
2006:Q3,Next40,20340311,25788374,10692493,1752822,1757457,4410245,2102024,1306567,3766765,5448063,4449147,902728,96188
2006:Q3,Bottom50,1460442,5814687,3442800,1018390,114861,204890,279489,147737,606520,4354245,3006800,1262171,85274
2006:Q4,TopPt1,7308254,7385685,692091,220026,2799964,137493,80452,1938758,1516900,77431,40337,5007,32087
2006:Q4,RemainingTop1,10896481,11423197,2392785,370169,3502685,472618,591608,2097564,1995768,526716,386149,39411,101156
2006:Q4,Next9,24063212,26406550,6839699,905881,4640415,4876366,2267253,2914062,3962874,2343338,1930366,207919,205053
2006:Q4,Next40,20552397,26049555,10703692,1763287,1832469,4462038,2185704,1296682,3805683,5497157,4467596,918681,110880
2006:Q4,Bottom50,1440244,5922188,3482899,1038896,125938,204233,293029,155388,621805,4481944,3093738,1285698,102508
2007:Q1,TopPt1,7580802,7657480,673484,229467,2982451,148669,84090,1942586,1596733,76678,40882,4384,31412
2007:Q1,RemainingTop1,11136197,11648361,2366553,377317,3680314,494454,613285,2076172,2040267,512164,382248,39025,90891
2007:Q1,Next9,24509402,26919326,6842407,898504,4881985,4925099,2296153,2963033,4112145,2409924,2001364,201935,206625
2007:Q1,Next40,20579213,26102188,10522537,1776108,1878799,4507450,2211664,1276536,3929093,5522975,4509283,904206,109486
2007:Q1,Bottom50,1385931,5967212,3460319,1063236,134121,203260,299487,163139,643650,4581281,3187456,1290623,103202
2007:Q2,TopPt1,7752113,7830548,661425,229577,3093584,158631,89120,1988767,1609443,78434,40951,4373,33110
2007:Q2,RemainingTop1,11238217,11745457,2345328,386121,3782478,514497,648331,2078637,1990064,507239,381490,40095,85654
2007:Q2,Next9,24905856,27399940,6860142,900174,5022091,4991543,2393992,3053015,4178982,2494084,2061024,206093,226967
2007:Q2,Next40,20574243,26158273,10398110,1789349,1895298,4553789,2299591,1268764,3953372,5584030,4543092,918140,122798
2007:Q2,Bottom50,1343183,6060579,3490762,1086399,139114,205149,313335,170616,655205,4717397,3287590,1308265,121542
2007:Q3,TopPt1,7973781,8054836,643488,222172,3138272,168575,92915,2003525,1785890,81055,40562,4736,35757
2007:Q3,RemainingTop1,11393578,11895863,2311099,395858,3814761,533637,672031,2062906,2105571,502285,383659,41579,77047
2007:Q3,Next9,25281781,27821331,6815947,905838,5068107,5050948,2435131,3111076,4434284,2539550,2110017,213207,216326
2007:Q3,Next40,20628515,26258068,10274827,1798090,1884755,4594842,2334796,1251547,4119211,5629553,4568986,943273,117294
2007:Q3,Bottom50,1297024,6158128,3529466,1105984,141125,206798,320822,178146,675786,4861104,3394104,1352757,114243
2007:Q4,TopPt1,7794048,7879648,650238,237130,2931339,169570,91734,1935822,1863815,85600,42718,5888,36994
2007:Q4,RemainingTop1,11204260,11712885,2283687,385173,3622996,551841,665297,2050767,2153123,508625,383926,45356,79343
2007:Q4,Next9,25173655,27739906,6765950,913191,4823661,5086958,2427616,3033119,4689411,2566250,2129889,219747,216614
2007:Q4,Next40,20495117,26164093,10128122,1825443,1806348,4651600,2282140,1256095,4214345,5668975,4585292,960078,123605
2007:Q4,Bottom50,1087250,6047858,3416014,1113852,130795,206678,316130,178972,685418,4960608,3460314,1378409,121885
2008:Q1,TopPt1,7436365,7526680,645273,239492,2647452,170650,88606,1752950,1982256,90314,44934,6321,39059
2008:Q1,RemainingTop1,10842119,11355952,2209888,376721,3349397,569009,638247,1969272,2243418,513833,382144,47500,84189
2008:Q1,Next9,24616501,27206100,6573452,933231,4468598,5113814,2316163,2838213,4962629,2589599,2147202,215225,227172
2008:Q1,Next40,20055669,25729064,9796212,1853856,1696743,4701386,2137743,1223741,4319384,5673395,4590559,945566,137270
2008:Q1,Bottom50,916970,5951523,3333351,1120078,117050,206241,300262,179758,694783,5034552,3508514,1387396,138642
2008:Q2,TopPt1,7223815,7315858,644424,229807,2514759,171576,89089,1703994,1962209,92043,48209,7699,36135
2008:Q2,RemainingTop1,10708846,11206674,2138689,369512,3230314,587583,637470,1963677,2279429,497828,367979,50573,79276
